id,categoryname,subcategoryname,productname,orderdate,duedate,shipdate,unitprice,discountamount,totalproductcost,productstandardcost,salesamount,taxamt,freight
14,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-02,2011-01-14,2011-01-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
15,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-02,2011-01-14,2011-01-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
16,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-02,2011-01-14,2011-01-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
17,Bikes,Road Bikes,"Road-650 Black, 62",2011-01-02,2011-01-14,2011-01-09,699.10,0.00,413.15,413.15,699.10,55.93,17.48
18,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-03,2011-01-15,2011-01-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
19,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-03,2011-01-15,2011-01-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
20,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-03,2011-01-15,2011-01-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
21,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-04,2011-01-16,2011-01-11,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
22,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-04,2011-01-16,2011-01-11,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
23,Bikes,Road Bikes,"Road-650 Black, 58",2011-01-04,2011-01-16,2011-01-11,699.10,0.00,413.15,413.15,699.10,55.93,17.48
24,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-05,2011-01-17,2011-01-12,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
25,Bikes,Road Bikes,"Road-650 Black, 58",2011-01-05,2011-01-17,2011-01-12,699.10,0.00,413.15,413.15,699.10,55.93,17.48
26,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2011-01-06,2011-01-18,2011-01-13,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
27,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-01-06,2011-01-18,2011-01-13,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
28,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-06,2011-01-18,2011-01-13,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
29,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-06,2011-01-18,2011-01-13,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
30,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-06,2011-01-18,2011-01-13,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
31,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-01-07,2011-01-19,2011-01-14,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
32,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-07,2011-01-19,2011-01-14,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
33,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-07,2011-01-19,2011-01-14,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
34,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-08,2011-01-20,2011-01-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
35,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-08,2011-01-20,2011-01-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
36,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-08,2011-01-20,2011-01-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
37,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",2011-01-09,2011-01-21,2011-01-16,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
38,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-09,2011-01-21,2011-01-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
39,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-09,2011-01-21,2011-01-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
40,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-09,2011-01-21,2011-01-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
41,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-10,2011-01-22,2011-01-17,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
42,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-10,2011-01-22,2011-01-17,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
43,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-11,2011-01-23,2011-01-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
44,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-11,2011-01-23,2011-01-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
45,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-11,2011-01-23,2011-01-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
46,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-11,2011-01-23,2011-01-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
47,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2011-01-12,2011-01-24,2011-01-19,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
48,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-12,2011-01-24,2011-01-19,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
49,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-12,2011-01-24,2011-01-19,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
50,Bikes,Road Bikes,"Road-650 Black, 58",2011-01-12,2011-01-24,2011-01-19,699.10,0.00,413.15,413.15,699.10,55.93,17.48
51,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-13,2011-01-25,2011-01-20,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
52,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-13,2011-01-25,2011-01-20,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
53,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-01-14,2011-01-26,2011-01-21,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
54,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-14,2011-01-26,2011-01-21,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
55,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-14,2011-01-26,2011-01-21,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
56,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-14,2011-01-26,2011-01-21,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
57,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2011-01-15,2011-01-27,2011-01-22,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
58,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-15,2011-01-27,2011-01-22,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
59,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",2011-01-16,2011-01-28,2011-01-23,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
60,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-16,2011-01-28,2011-01-23,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
61,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-16,2011-01-28,2011-01-23,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
62,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-16,2011-01-28,2011-01-23,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
63,Bikes,Road Bikes,"Road-650 Red, 52",2011-01-16,2011-01-28,2011-01-23,699.10,0.00,413.15,413.15,699.10,55.93,17.48
64,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",2011-01-17,2011-01-29,2011-01-24,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
65,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-17,2011-01-29,2011-01-24,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
66,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-17,2011-01-29,2011-01-24,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
67,Bikes,Road Bikes,"Road-650 Red, 44",2011-01-17,2011-01-29,2011-01-24,699.10,0.00,413.15,413.15,699.10,55.93,17.48
68,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-18,2011-01-30,2011-01-25,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
69,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-18,2011-01-30,2011-01-25,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
70,Bikes,Mountain Bikes,"Mountain-100 Black, 48",2011-01-19,2011-01-31,2011-01-26,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
71,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2011-01-19,2011-01-31,2011-01-26,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
72,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",2011-01-19,2011-01-31,2011-01-26,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
73,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-19,2011-01-31,2011-01-26,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
74,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-19,2011-01-31,2011-01-26,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
75,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-19,2011-01-31,2011-01-26,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
76,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-19,2011-01-31,2011-01-26,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
77,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-20,2011-02-01,2011-01-27,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
78,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-20,2011-02-01,2011-01-27,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
79,Bikes,Road Bikes,"Road-650 Black, 52",2011-01-20,2011-02-01,2011-01-27,699.10,0.00,413.15,413.15,699.10,55.93,17.48
80,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-21,2011-02-02,2011-01-28,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
81,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-21,2011-02-02,2011-01-28,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
82,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-22,2011-02-03,2011-01-29,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
83,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-22,2011-02-03,2011-01-29,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
84,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-22,2011-02-03,2011-01-29,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
85,Bikes,Road Bikes,"Road-650 Red, 48",2011-01-22,2011-02-03,2011-01-29,699.10,0.00,413.15,413.15,699.10,55.93,17.48
86,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",2011-01-23,2011-02-04,2011-01-30,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
87,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-01-23,2011-02-04,2011-01-30,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
88,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-23,2011-02-04,2011-01-30,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
89,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-23,2011-02-04,2011-01-30,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
90,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-23,2011-02-04,2011-01-30,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
91,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2011-01-24,2011-02-05,2011-01-31,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
92,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-01-24,2011-02-05,2011-01-31,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
93,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-24,2011-02-05,2011-01-31,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
94,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-24,2011-02-05,2011-01-31,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
95,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-24,2011-02-05,2011-01-31,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
96,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-24,2011-02-05,2011-01-31,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
97,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2011-01-25,2011-02-06,2011-02-01,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
98,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-25,2011-02-06,2011-02-01,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
99,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-25,2011-02-06,2011-02-01,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
100,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-25,2011-02-06,2011-02-01,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
101,Bikes,Road Bikes,"Road-650 Black, 44",2011-01-25,2011-02-06,2011-02-01,699.10,0.00,413.15,413.15,699.10,55.93,17.48
102,Bikes,Road Bikes,"Road-650 Black, 52",2011-01-25,2011-02-06,2011-02-01,699.10,0.00,413.15,413.15,699.10,55.93,17.48
103,Bikes,Mountain Bikes,"Mountain-100 Black, 42",2011-01-26,2011-02-07,2011-02-02,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
104,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-26,2011-02-07,2011-02-02,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
105,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-26,2011-02-07,2011-02-02,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
106,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2011-01-27,2011-02-08,2011-02-03,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
107,Bikes,Mountain Bikes,"Mountain-100 Black, 44",2011-01-27,2011-02-08,2011-02-03,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
108,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-27,2011-02-08,2011-02-03,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
109,Bikes,Road Bikes,"Road-650 Red, 62",2011-01-27,2011-02-08,2011-02-03,699.10,0.00,413.15,413.15,699.10,55.93,17.48
110,Bikes,Road Bikes,"Road-150 Red, 44",2011-01-28,2011-02-09,2011-02-04,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
111,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-28,2011-02-09,2011-02-04,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
112,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-28,2011-02-09,2011-02-04,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
113,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-28,2011-02-09,2011-02-04,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
114,Bikes,Road Bikes,"Road-650 Red, 44",2011-01-28,2011-02-09,2011-02-04,699.10,0.00,413.15,413.15,699.10,55.93,17.48
115,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-29,2011-02-10,2011-02-05,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
116,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-29,2011-02-10,2011-02-05,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
117,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-29,2011-02-10,2011-02-05,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
118,Bikes,Road Bikes,"Road-150 Red, 48",2011-01-30,2011-02-11,2011-02-06,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
119,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-30,2011-02-11,2011-02-06,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
120,Bikes,Road Bikes,"Road-150 Red, 62",2011-01-30,2011-02-11,2011-02-06,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
121,Bikes,Mountain Bikes,"Mountain-100 Black, 48",2011-01-31,2011-02-12,2011-02-07,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
122,Bikes,Road Bikes,"Road-150 Red, 52",2011-01-31,2011-02-12,2011-02-07,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
123,Bikes,Road Bikes,"Road-150 Red, 56",2011-01-31,2011-02-12,2011-02-07,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
124,Bikes,Road Bikes,"Road-650 Red, 60",2011-01-31,2011-02-12,2011-02-07,699.10,0.00,413.15,413.15,699.10,55.93,17.48
125,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",2011-02-01,2011-02-13,2011-02-08,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
126,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",2011-02-01,2011-02-13,2011-02-08,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
127,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-01,2011-02-13,2011-02-08,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
128,Bikes,Road Bikes,"Road-150 Red, 52",2011-02-01,2011-02-13,2011-02-08,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
129,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-01,2011-02-13,2011-02-08,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
130,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-02,2011-02-14,2011-02-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
131,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-02,2011-02-14,2011-02-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
132,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-02,2011-02-14,2011-02-09,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
133,Bikes,Road Bikes,"Road-650 Black, 60",2011-02-02,2011-02-14,2011-02-09,699.10,0.00,413.15,413.15,699.10,55.93,17.48
134,Bikes,Road Bikes,"Road-650 Black, 62",2011-02-02,2011-02-14,2011-02-09,699.10,0.00,413.15,413.15,699.10,55.93,17.48
135,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2011-02-03,2011-02-15,2011-02-10,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
136,Bikes,Mountain Bikes,"Mountain-100 Silver, 42",2011-02-03,2011-02-15,2011-02-10,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
137,Bikes,Road Bikes,"Road-150 Red, 52",2011-02-03,2011-02-15,2011-02-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
138,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-03,2011-02-15,2011-02-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
139,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-03,2011-02-15,2011-02-10,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
140,Bikes,Road Bikes,"Road-650 Black, 44",2011-02-03,2011-02-15,2011-02-10,699.10,0.00,413.15,413.15,699.10,55.93,17.48
141,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-04,2011-02-16,2011-02-11,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
142,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-04,2011-02-16,2011-02-11,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
143,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-04,2011-02-16,2011-02-11,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
144,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2011-02-05,2011-02-17,2011-02-12,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
145,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-05,2011-02-17,2011-02-12,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
146,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-05,2011-02-17,2011-02-12,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
147,Bikes,Road Bikes,"Road-650 Black, 52",2011-02-05,2011-02-17,2011-02-12,699.10,0.00,413.15,413.15,699.10,55.93,17.48
148,Bikes,Mountain Bikes,"Mountain-100 Black, 38",2011-02-06,2011-02-18,2011-02-13,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
149,Bikes,Mountain Bikes,"Mountain-100 Black, 42",2011-02-06,2011-02-18,2011-02-13,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
150,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-06,2011-02-18,2011-02-13,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
151,Bikes,Road Bikes,"Road-150 Red, 52",2011-02-06,2011-02-18,2011-02-13,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
152,Bikes,Mountain Bikes,"Mountain-100 Black, 48",2011-02-07,2011-02-19,2011-02-14,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
153,Bikes,Mountain Bikes,"Mountain-100 Silver, 48",2011-02-07,2011-02-19,2011-02-14,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
154,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-07,2011-02-19,2011-02-14,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
155,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-07,2011-02-19,2011-02-14,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
156,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-07,2011-02-19,2011-02-14,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
157,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-08,2011-02-20,2011-02-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
158,Bikes,Road Bikes,"Road-150 Red, 52",2011-02-08,2011-02-20,2011-02-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
159,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-08,2011-02-20,2011-02-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
160,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-08,2011-02-20,2011-02-15,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
161,Bikes,Road Bikes,"Road-150 Red, 48",2011-02-09,2011-02-21,2011-02-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
162,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-09,2011-02-21,2011-02-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
163,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-09,2011-02-21,2011-02-16,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
164,Bikes,Mountain Bikes,"Mountain-100 Black, 48",2011-02-10,2011-02-22,2011-02-17,3374.99,0.00,1898.09,1898.09,3374.99,270.00,84.37
165,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-10,2011-02-22,2011-02-17,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
166,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-10,2011-02-22,2011-02-17,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
167,Bikes,Road Bikes,"Road-650 Black, 52",2011-02-10,2011-02-22,2011-02-17,699.10,0.00,413.15,413.15,699.10,55.93,17.48
168,Bikes,Road Bikes,"Road-650 Red, 60",2011-02-10,2011-02-22,2011-02-17,699.10,0.00,413.15,413.15,699.10,55.93,17.48
169,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-11,2011-02-23,2011-02-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
170,Bikes,Road Bikes,"Road-150 Red, 52",2011-02-11,2011-02-23,2011-02-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
171,Bikes,Road Bikes,"Road-150 Red, 56",2011-02-11,2011-02-23,2011-02-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
172,Bikes,Road Bikes,"Road-150 Red, 62",2011-02-11,2011-02-23,2011-02-18,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
173,Bikes,Mountain Bikes,"Mountain-100 Silver, 38",2011-02-12,2011-02-24,2011-02-19,3399.99,0.00,1912.15,1912.15,3399.99,272.00,85.00
174,Bikes,Road Bikes,"Road-150 Red, 44",2011-02-12,2011-02-24,2011-02-19,3578.27,0.00,2171.29,2171.29,3578.27,286.26,89.46
